Date,Open,High,Low,Close,Volume
05/23/2022,"195.19","196.99","191.24","196.23","25,059,160"
05/20/2022,"194.97","197.91","187.87","193.54","31,465,570"
05/19/2022,"191.20","195.29","189.60","191.29","24,446,939"
05/18/2022,"200.00","201.00","191.63","192.24","23,959,971"
05/17/2022,"202.12","205.46","198.36","202.62","24,872,730"
05/16/2022,"197.05","205.37","195.93","200.04","27,112,600"
05/13/2022,"192.58","199.89","191.28","198.62","24,549,840"
05/12/2022,"187.06","198.05","184.78","191.24","38,262,230"
05/11/2022,"196.33","200.67","188.27","188.74","31,153,381"
05/10/2022,"199.51","202.96","194.19","197.65","34,452,488"
05/09/2022,"199.84","202.57","195.58","196.21","36,303,199"
05/06/2022,"207.34","209.38","201.02","203.77","34,747,160"
05/05/2022,"218.74","220.17","206.16","208.28","41,129,191"
05/04/2022,"210.65","224.30","206.96","223.41","41,375,879"
05/03/2022,"210.45","214.90","208.09","212.03","41,556,273"
05/02/2022,"201.17","211.88","200.99","211.13","49,915,289"
04/29/2022,"204.46","212.48","199.90","200.47","49,193,434"
04/28/2022,"202.92","208.53","192.90","205.73","100,890,602"
04/27/2022,"174.43","181.21","169.00","174.95","71,062,891"
04/26/2022,"186.63","187.19","179.50","180.95","31,747,430"
04/25/2022,"182.73","187.18","181.66","186.99","29,281,061"
