Date,Open,High,Low,Close,Volume
05/23/2022,"137.79","143.26","137.65","143.11","117,726,305"
05/20/2022,"139.09","140.70","132.61","137.59","137,426,094"
05/19/2022,"139.88","141.66","136.60","137.35","136,095,594"
05/18/2022,"146.85","147.36","139.90","140.82","109,742,898"
05/17/2022,"148.86","149.77","146.68","149.24","78,336,250"
05/16/2022,"145.55","147.52","144.18","145.54","86,643,773"
05/13/2022,"144.59","148.11","143.11","147.11","113,990,898"
05/12/2022,"142.77","146.20","138.80","142.56","182,602,000"
05/11/2022,"153.50","155.45","145.81","146.50","142,689,797"
05/10/2022,"155.52","156.74","152.93","154.51","115,366,703"
05/09/2022,"154.93","155.83","151.49","152.06","131,577,906"
05/06/2022,"156.01","159.44","154.18","157.28","116,124,602"
05/05/2022,"163.85","164.08","154.95","156.77","130,525,297"
05/04/2022,"159.67","166.48","159.26","166.02","108,256,492"
05/03/2022,"158.15","160.71","156.32","159.48","88,966,531"
05/02/2022,"156.71","158.23","153.27","157.96","123,055,297"
04/29/2022,"161.84","166.20","157.25","157.65","131,747,594"
04/28/2022,"159.25","164.52","158.93","163.64","130,216,797"
04/27/2022,"155.91","159.79","155.38","156.57","88,063,195"
04/26/2022,"162.25","162.34","156.72","156.80","95,623,242"
04/25/2022,"161.12","163.17","158.46","162.88","96,046,383"
